document_id,strategy,n,doc_hit_at_1,doc_hit_at_3,doc_hit_at_5,doc_hit_at_10,doc_mrr,doc_ndcg_at_10,answer_in_top_1,answer_in_top_3,answer_in_top_5,answer_in_top_10,answer_mrr,answer_ndcg_at_10,answer_precision_at_5,answer_precision_at_10,answer_rank_mean,answer_rank_std,answer_not_found_rate
ERA_ERTMS033281_2023,BM25,9,1.0,1.0,1.0,1.0,1.0,4.3228,0.7778,1.0,1.0,1.0,0.8519,1.0579,0.2444,0.1444,1.4444,0.8315,0.0
ERA_ERTMS033281_2023,Dense,9,1.0,1.0,1.0,1.0,1.0,4.4034,0.7778,1.0,1.0,1.0,0.8704,1.0214,0.2444,0.1222,1.3333,0.6667,0.0
ERA_ERTMS033281_2023,Hybrid_RRF,9,1.0,1.0,1.0,1.0,1.0,4.4364,0.8889,1.0,1.0,1.0,0.9444,1.0996,0.2222,0.1333,1.1111,0.3143,0.0
ERA_ERTMS033281_2023,Hybrid_RRF_Reranked,9,1.0,1.0,1.0,1.0,1.0,4.5101,1.0,1.0,1.0,1.0,1.0,1.1259,0.2444,0.1333,1.0,0.0,0.0
ERA_ERTMSFRS_2007,BM25,8,1.0,1.0,1.0,1.0,1.0,3.8613,1.0,1.0,1.0,1.0,1.0,1.2366,0.275,0.1375,1.0,0.0,0.0
ERA_ERTMSFRS_2007,Dense,8,1.0,1.0,1.0,1.0,1.0,3.8861,1.0,1.0,1.0,1.0,1.0,1.2116,0.275,0.1375,1.0,0.0,0.0
ERA_ERTMSFRS_2007,Hybrid_RRF,8,1.0,1.0,1.0,1.0,1.0,4.0954,1.0,1.0,1.0,1.0,1.0,1.2366,0.275,0.1375,1.0,0.0,0.0
ERA_ERTMSFRS_2007,Hybrid_RRF_Reranked,8,1.0,1.0,1.0,1.0,1.0,4.268,0.875,1.0,1.0,1.0,0.9167,1.1491,0.275,0.1375,1.25,0.6614,0.0
FRA_LERT_2021,BM25,12,1.0,1.0,1.0,1.0,1.0,3.4509,0.75,0.9167,1.0,1.0,0.85,0.94,0.2167,0.1083,1.5,1.118,0.0
FRA_LERT_2021,Dense,12,1.0,1.0,1.0,1.0,1.0,3.132,0.6667,0.9167,1.0,1.0,0.7847,0.891,0.2167,0.1083,1.6667,1.0274,0.0
FRA_LERT_2021,Hybrid_RRF,12,1.0,1.0,1.0,1.0,1.0,3.4291,0.5833,1.0,1.0,1.0,0.7778,0.8879,0.2167,0.1083,1.5,0.6455,0.0
FRA_LERT_2021,Hybrid_RRF_Reranked,12,1.0,1.0,1.0,1.0,1.0,3.535,0.75,1.0,1.0,1.0,0.8611,0.9494,0.2167,0.1083,1.3333,0.6236,0.0
FRA_PassTrainEP_1998,BM25,12,1.0,1.0,1.0,1.0,1.0,4.4573,0.9167,1.0,1.0,1.0,0.9444,1.3727,0.35,0.175,1.1667,0.5528,0.0
